,Filename,Count,MP_ID,nElements,EboveHull,Material,FormationEnergy,Predicted_CT
42282,42283_Mg1Te2Mo3W1Se4S2.poscar,42284,mp-2219434,6,0.249335329,MgTe2Mo3W(Se2S)2,-0.766962631,2.9197044
42283,42284_Mg1Sc1Mo3O8.poscar,42285,mp-2218557,4,0.113154244,MgScMo3O8,-2.40351103,8.153494
42285,42286_Mg1I8O12F24.poscar,42287,mp-1233753,4,0.068407823,MgI8(OF2)12,-1.57923644,10.343074
42286,42287_Er4Mg2Cu4.poscar,42288,mp-1205745,3,0.0,Er2MgCu2,-0.240472016,3.3830395
42294,42295_Y1Mg6Nb1O8.poscar,42296,mp-1031907,4,0.405907751,YMg6NbO8,-2.649787487,6.361836
42322,42323_Mg1Fe1Co5O12.poscar,42324,mp-2230781,4,0.113084292,MgFeCo5O12,-1.304701919,2.4913092
42338,42339_Na1Mg1Ni1I1O6.poscar,42340,mp-2223887,5,0.11733124,NaMgNiIO6,-1.460105695,4.8210154
42339,42340_Sr2Gd1Mg1Cu2Ru1O8.poscar,42341,mp-2240990,6,0.328349543,Sr2GdMgCu2RuO8,-2.09427047,19.10227
42344,42345_Pr1Mg1Hg2.poscar,42346,mp-862758,3,0.0,PrMgHg2,-0.469341631,3.3572946
42356,42357_Na1Mg1V2Bi3O10.poscar,42358,mp-2229079,5,0.130108713,NaMgV2Bi3O10,-2.055895004,7.405191
42365,42366_Li1Mg9B20.poscar,42367,mp-35040,3,0.023793727,LiMg9B20,-0.119029829,2.639589
42377,42378_Dy5Mg24.poscar,42379,mp-672670,2,0.019994224,Dy5Mg24,-0.038953424,4.6539907
42393,42394_Pr4Mg4Bi8O24.poscar,42395,mp-1519716,4,0.325895972,PrMg(BiO3)2,-2.099743102,3.2274103
42394,42395_K2Mg1Co2O4.poscar,42396,mp-2223055,4,0.440040587,K2Mg(CoO2)2,-1.322973478,8.88585
42412,42413_Ca1Mg30Ti1O32.poscar,42414,mp-1037872,4,0.043157063,CaMg30TiO32,-3.014232217,12.807189
42417,42418_Mg1Fe2P2H18O18.poscar,42419,mp-24752,5,0.014070791,MgFe2P2(HO)18,-1.682036942,22.445736
42418,42419_Sr2Mg12Al2.poscar,42420,mp-1023290,3,0.146990499,SrMg6Al,0.062527282,6.2471857
42436,42437_Mg1Cd2Mo2O8.poscar,42438,mp-2242219,4,0.054252771,MgCd2(MoO4)2,-1.945832349,10.216905
42442,42443_Na1Mg14Sb1O16.poscar,42444,mp-1034338,4,0.105117285,NaMg14SbO16,-2.799405926,33.18471
42444,42445_Mg1Cd2Te2Mo2O12.poscar,42446,mp-2231074,5,0.215599576,MgCd2Te2(MoO6)2,-1.670606088,5.9189405
42448,42449_Mg16Ga16.poscar,42450,mp-574266,2,0.0,MgGa,-0.148318164,4.7295938
42450,42451_Mg3Mn5B4O16.poscar,42452,mp-770722,4,0.0,Mg3Mn5(BO4)4,-2.589592068,3.1226282
42465,42466_Tm4Mg2Ge4.poscar,42467,mp-865403,3,0.0,Tm2MgGe2,-0.746335817,3.0222898
42477,42478_Mg4Bi12O28.poscar,42479,mp-1043868,3,0.136847882,MgBi3O7,-1.63725265,2.841826
42481,42482_Na24Mg6Zn6Si6S12O72.poscar,42483,mp-2713107,6,0.105500484,Na4MgZnSi(SO6)2,-2.313895479,26.239056
42486,42487_Ce2Mg4.poscar,42488,mp-1039381,2,0.071180757,CeMg2,0.045999505,6.2770905
42506,42507_Mg1Zn2Fe4O8.poscar,42508,mp-2215914,4,0.203096816,MgZn2(FeO2)4,-1.65388117,8.759513
42507,42508_Ba2Mg1Fe4O8.poscar,42509,mp-2232179,4,0.284291559,Ba2Mg(FeO2)4,-1.89817166,7.471414
42511,42512_Mg12V2Cu2.poscar,42513,mp-1022095,3,0.230213946,Mg6VCu,0.176382044,4.393793
42512,42513_Na12Mg12S18O72.poscar,42514,mp-2714819,4,0.00336193,Na2Mg2(SO4)3,-2.338753907,44.784336
42517,42518_Dy5Mg1.poscar,42519,mp-1183830,2,0.063270682,Dy5Mg,0.036682043,6.457891
42520,42521_Mg10Si18.poscar,42522,mp-1075724,2,0.253095863,Mg5Si9,0.184135824,2.2155323
42522,42523_Mg1Cr2Fe3Ni1P6O24.poscar,42524,mp-1234418,6,0.114039707,MgCr2Fe3Ni(PO4)6,-2.36244755,11.601916
42525,42526_Mg1Mn4O6F2.poscar,42527,mp-2224779,4,0.142872374,MgMn4(O3F)2,-2.29059478,3.7647095
42530,42531_Li4Mg2.poscar,42532,mp-977207,2,0.023116895,Li2Mg,-0.019434671,3.8387928
42534,42535_Mg12Cd2Bi2.poscar,42536,mp-1017180,3,0.075323191,Mg6CdBi,-0.038936618,3.1421409
42541,42542_Mg4Sn2.poscar,42543,mp-1094525,2,0.152847137,Mg2Sn,-0.034378285,11.48089
42543,42544_Ca1Y1Mg2.poscar,42545,mp-1096179,3,1.939040011,CaYMg2,1.843847896,7.2790174
42555,42556_Mg1V2Zn2Si2O10.poscar,42557,mp-2215933,5,0.10892423,MgV2Zn2(SiO5)2,-2.599464276,15.884328
42577,42578_Mg1Ti1Sn1O3.poscar,42579,mp-2228080,4,0.944355902,MgTiSnO3,-1.863759111,8.471537
42594,42595_Mg18Sn6.poscar,42596,mp-643067,2,0.03544057,Mg3Sn,-0.111792284,2.9799614
42603,42604_Mg1Cu6O2F10.poscar,42605,mp-2230402,4,0.096933774,MgCu6(OF5)2,-1.851342137,5.1250505
42611,42612_Mg1Cd1.poscar,42613,mp-1039124,2,0.011150315,MgCd,-0.087780415,3.384113
42617,42618_Mg12Cd2Sb2.poscar,42619,mp-1017186,3,0.101286017,Mg6CdSb,-0.084738582,3.5627723
42624,42625_Mg12Zn2W2.poscar,42626,mp-1022615,3,0.313481067,Mg6ZnW,0.266679645,2.7095008
42625,42626_Na42La12Mg12Si15S21O144.poscar,42627,mp-2713040,6,0.118136811,Na14La4Mg4Si5S7O48,-2.615220835,25.526005
42630,42631_Mg14Cd1Co1O16.poscar,42632,mp-1035067,4,0.038060193,Mg14CdCoO16,-2.799872848,25.585836
42644,42645_Cs4Mg1Ti2Ag4S8.poscar,42646,mp-2230111,5,0.150747186,Cs4MgTi2(AgS2)4,-1.121500633,6.778209
42660,42661_Mg14Mn1W1.poscar,42662,mp-1028073,3,0.291836218,Mg14MnW,0.281410594,4.1608214
42665,42666_Mg12Fe2Ni2.poscar,42667,mp-1022578,3,0.243819941,Mg6FeNi,0.168205571,3.9143515
42671,42672_Mg4Al8Si10O36.poscar,42673,mp-6174,4,0.0,Mg2Al4Si5O18,-3.33382582,47.00868
